"Name","Symbol","Circulating Supply","Dollar Volume"
"GridCoin","GRC","390312753.151","1387820.0"
"Crown","CRW","16322069.9069","190501.0"
"BitDice","CSNO","70000000.0","85121.1"
"Dentacoin","DCN","3.25190215376e+11","35130.6"
"NoLimitCoin","NLC2","204603267.002","282865.0"
"Ambrosus","AMB","144590975.0","597543.0"
"Cindicator","CND","1445976590.33","350906.0"
"LEOcoin","LEO","94442956.145","1607740.0"
"district0x","DNT","600000000.0","4011430.0"
"Moeda Loyalty...","MDA","19628888.0","1538820.0"
"Paypex","PAYX","68380258.29","18716.0"
"Numeraire","NMR","1296778.95335","874954.0"
"Bitzeny","ZNY","75614500.0","990926.0"
"Omni","OMNI","560243.751798","782422.0"
"Shift","SHIFT","11484022.1","462024.0"
"Boolberry","BBR","10720038.3318","60079.2"
"Xaurum","XAUR","127107894.983","310557.0"
"Triggers","TRIG","32105577.5103","2115140.0"
"Polybius","PLBT","3820953.60641","452956.0"
"BlackCoin","BLK","76535129.3959","1002310.0"
"MonetaryUnit","MUE","119547816.0","1915820.0"
"Burst","BURST","1800339818.0","1630870.0"
"Elastic","XEL","87731088.0","706160.0"
"Wagerr","WGR","183000000.0","119594.0"
"Global Curren...","GCR","103486096.911","4033250.0"
"Etherparty","FUEL","484096252.554","1738060.0"
"EthLend","LEND","940000000.0","495095.0"
"Waves Communi...","WCT",,"51405.7"
"Unikoin Gold","UKG","133789637.35","103758.0"
"Humaniq","HMQ","162862752.776","898325.0"
"Delphy","DPY","28166669.38","26518.7"
"Rubycoin","RBY","25063986.3918","132122.0"
"Unobtanium","UNO","197891.171519","79299.8"
"Synereo","AMP","82256324.0","1076040.0"
"Golos","GOLOS","124518891.448","61350.3"
"Matchpool","GUP","75000000.0","2459820.0"
"XPlay","XPA","1000000000.0","505822.0"
"Stox","STX","42742407.1494","1739490.0"
"TransferCoin","TX","6233914.0","1333230.0"
"DigitalNote","XDN","6885695758.17","8600820.0"
"Aventus","AVT","6000000.0","2348160.0"
"Everex","EVX","16500000.0","2542310.0"
"Clams","CLAM","2751411.19469","2337810.0"
"Databits","DTB","22747808.5","226804.0"
"ATBCoin","ATB","39492480.6804","2979110.0"
"XTRABYTES","XBY","430000000.0","218739.0"
"ICOS","ICOS","583346.931657","17335.8"
"Po.et","POE","2176495390.0","1014980.0"
"Viberate","VIB","160966468.432","3474060.0"
"Genesis Vision","GVT","3726780.89997","1703790.0"
"BitSend","BSD","17426000.0","265914.0"
"Hive","HVN","375000000.0","450984.0"
"Sphere","SPHR","3082940.27603","997273.0"
"Red Pulse","RPX","543348500.0","614199.0"
"TokenCard","TKN","23644055.9283","831888.0"
"NuShares","NSR","2777600756.0","3186.24"
"iXledger","IXT","35778843.8312","478165.0"
"The ChampCoin","TCC","164925727.0","585209.0"
"NeosCoin","NEOS","3602178.3521","348822.0"
"SunContract","SNC","107712011.154","722046.0"
"Target Coin","TGT","952429892.0","1055.39"
"HempCoin","THC","229725760.379","2348760.0"
"OBITS","OBITS","15751999.9451","18500.3"
"Rialto","XRL","84999999.9415","53409.1"
"ALIS","ALIS","38538648.0864","138329.0"
"Xenon","XNN","300000000.0","34758.7"
"Soarcoin","SOAR","711480734.526","16459.4"
"OracleChain","OCT","30000000.0","79474.5"
"Gambit","GAM","1198545.74104","233220.0"
"Expanse","EXP","7906396.53078","850708.0"
"Etheroll","DICE","7001622.64879","13985.4"
"VeriCoin","VRC","30500019.0194","1134610.0"
"Radium","RADS","3404371.19794","999599.0"
"adToken","ADT","600000000.0","152768.0"
"FoldingCoin","FLDC","550358603.0","9925760.0"
"Monetha","MTH","216863420.3","933575.0"
"SpankChain","SPANK","300043386.0","29685.3"
"SolarCoin","SLR","38422086.5199","401490.0"
"Rivetz","RVT","26244468.18","52172.5"
"Tao","XTO","32656397.974","7752.89"
"Peerplays","PPY","3823697.83858","2662.08"
"bitCNY","BITCNY","108337000.0","4986350.0"
"HEAT","HEAT",,"40360.0"
"Nimiq","NET","10500000.0","286635.0"
"Masternodecoin","MTNC","49239980.814","9521.94"
"Paragon","PRG","64936678.1911","297544.0"
"KickCoin","KICK","321137782.25","1448200.0"
"Mothership","MSP","140000000.0","318836.0"
"DeepOnion","ONION","4489888.74189","295910.0"
"Vcash","XVC","15362475.5707","1184290.0"
"Agrello","DLT","85978873.0","1804420.0"
"Primas","PST","51200000.0","65184.1"
"FlorinCoin","FLO","140405656.117","516524.0"
"Dent","DENT","10614760961.2","198796.0"
"ClearPoll","POLL","6999991.0","642410.0"
"LoMoCoin","LMC","221360587.295","1264680.0"
"Maecenas","ART","30150150.1476","27427.1"
"BridgeCoin","BCO","27000000.0","10990.3"
"Obsidian","ODN","25000000.0","316410.0"
"Energycoin","ENRG","121449451.575","218300.0"
"Mysterium","MYST","19429024.2167","3482590.0"
"Lunyr","LUN","2297853.07853","243931.0"
"Swarm City","SWT","7885955.38141","258841.0"
"Chronobank","TIME","710112.8108","1044560.0"
"Bitcloud","BTDX","15913925.5776","37506.2"
"InvestFeed","IFT","191381257.0","139779.0"
"Bitdeal","BDL","175583793.0","257128.0"
"Blackmoon Crypto","BMC","30049250.7614","1250780.0"
"Nexium","NXC","66521586.0","270502.0"
"ToaCoin","TOA","1331155613.67","41801.1"
"Decision Token","HST","31182814.0597","247149.0"
"Pascal Coin","PASC","15834900.0","180653.0"
"Patientory","PTOY","70000000.0","995132.0"
"AirToken","AIR","1050000000.0","86662.0"
"Internet of P...","IOP","1816107.0","8614940.0"
"Incent","INCNT","46016602.0","216048.0"
"Change","CAG","37109886.8163","237898.0"
"Curecoin","CURE","23813019.7515","174572.0"
"Novacoin","NVC","1920774.94339","169134.0"
"Riecoin","RIC","39614674.9998","433456.0"
"Sequence","SEQ","45206569.5148","166637.0"
"BitBean","BITB","2254542000.0","374948.0"
"DubaiCoin","DBIX","1636876.951","165423.0"
"NewYorkCoin","NYC","1.29032781759e+11","12870.3"
"Auroracoin","AUR","8658139.13597","1046360.0"
"DomRaider","DRT","591500000.0","58365.5"
"PRIZM","PZM","11559035.76","9988.4"
"Quantum","QAU","77429073.815","53612.4"
"BlockMason Cr...","BCPT","45166200.0","348286.0"
"PinkCoin","PINK","370959250.0","499308.0"
"Onix","ONX","27432814.0","267556.0"
"PoSW Coin","POSW","44100000.0","78088.1"
"Credo","CREDO","549891702.891","2602.02"
"OAX","OAX","25009249.58","2012950.0"
"Stealthcoin","XST","27558598.4883","67031.2"
"bitUSD","BITUSD","9555250.0","2018080.0"
"Bankcoin","B@",,"10128.1"
"Bitcoin Plus","XBC","103496.684448","462331.0"
"EarthCoin","EAC","11532040054.6","68952.7"
"Bitcrystals","BCY","23192530.6116","286561.0"
"Mooncoin","MOON","2.22974845443e+11","14812.9"
"Neutron","NTRN","32568852.0961","80395.7"
"Dynamic","DYN","1881199.36691","750381.0"
"Pesetacoin","PTC","131788604.414","173479.0"
"EncrypGen","DNA","36057247.34","212210.0"
"Musicoin","MUSIC","489017634.0","490385.0"
"Bitmark","BTM","7306740.0","608814.0"
"Kore","KORE","2022464.88697","859015.0"
